smiles_id,group_id,smiles
31643_1,C_0,C=C[C@H](CO)[C@@H](CC)OC(C)=O
31643_2,C_0,[CH]OC[C@@H](/C=C/C)[C@@H](CC)OC(=O)C=C
31643_3,O_0,[CH]/C=C/C(=O)O[C@H](CC)[C@H](C=C)CO
31643_4,C_0,[CH][C@@H](C)/C=C/C(=O)O[C@H](CC)C(C)C
31643_5,O_0,[CH]/C=C/C(=O)O[C@@H]([CH])C
31643_6,C_0,[CH][C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]([CH])C
31643_7,C_0,[CH]OC(=O)/C=C/[C@H](C)[C@@H](O[CH])C(C)C
31643_8,C_0,[CH]C[C@H](C)[C@H](O[C@@H]([CH])O)[C@@H](C)/C=C/C(=O)O
31643_9,C_0,[CH]O[C@@H](C(C)C)[C@@H](C)/C=C/C
31643_10,C_0,[CH]O[C@@H](O[C@H]([C@@H](C)/C=C/C)[C@@H](C)CC(C)C)[C@@H]([CH])O
31643_11,O_0,[CH]C[C@H](C)[C@H](O[C@@H]1O[C@H](C)C[C@H]([N])[C@H]1O)[C@@H](C)C=C
31643_12,C_0,CC(C)C(O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)C(C)C
31643_13,O_0,[CH]C([CH])O[C@@H]1O[C@H](C)C[C@H]([N])[C@H]1O
31643_14,C_0,[CH]O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
31643_15,C_0,C[C@@H]1C[C@H]([N])[CH][C@H](O)O1
31643_16,C_0,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](O)O1
31643_17,C_0,[CH]O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
31643_18,C_0,[CH]C([CH])O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
